"No.","Time","Source","Destination","Protocol","Sequence Number","Payload Length","Info"
"1","0.000000","fe80::202:2:2:2","ff02::1a","ICMPv6","55","76","RPL Control (DODAG Information Object)"
"2","0.020000","fe80::20b:b:b:b","fe80::202:2:2:2","ICMPv6","108","76","RPL Control (DODAG Information Object)"
"3","0.024200","","","IEEE 802.15.4","108","","Ack"
"4","0.036000","fe80::207:7:7:7","fe80::202:2:2:2","ICMPv6","35","76","RPL Control (DODAG Information Object)"
"5","0.040200","","","IEEE 802.15.4","35","","Ack"
"6","0.199000","fe80::215:15:15:15","fe80::202:2:2:2","ICMPv6","169","76","RPL Control (DODAG Information Object)"
"7","0.203200","","","IEEE 802.15.4","169","","Ack"
"8","0.220000","fe80::201:1:1:1","ff02::1a","ICMPv6","9","76","RPL Control (DODAG Information Object)"
"9","0.298000","fe80::216:16:16:16","fe80::201:1:1:1","ICMPv6","197","76","RPL Control (DODAG Information Object)"
"10","0.302200","","","IEEE 802.15.4","197","","Ack"
"11","0.730000","fe80::208:8:8:8","fe80::202:2:2:2","ICMPv6","228","76","RPL Control (DODAG Information Object)"
"12","0.734200","","","IEEE 802.15.4","228","","Ack"
"13","0.792000","fe80::20f:f:f:f","fe80::202:2:2:2","ICMPv6","250","76","RPL Control (DODAG Information Object)"
"14","0.796200","","","IEEE 802.15.4","250","","Ack"
"15","1.133000","fe80::20d:d:d:d","fe80::202:2:2:2","ICMPv6","30","76","RPL Control (DODAG Information Object)"
"16","1.137200","","","IEEE 802.15.4","30","","Ack"
"17","1.204000","fe80::217:17:17:17","fe80::201:1:1:1","ICMPv6","123","76","RPL Control (DODAG Information Object)"
"18","1.208200","","","IEEE 802.15.4","123","","Ack"
"19","1.289000","fe80::20c:c:c:c","fe80::202:2:2:2","ICMPv6","30","76","RPL Control (DODAG Information Object)"
"20","1.293200","","","IEEE 802.15.4","30","","Ack"
"21","1.373000","fe80::210:10:10:10","fe80::201:1:1:1","ICMPv6","113","76","RPL Control (DODAG Information Object)"
"22","1.377200","","","IEEE 802.15.4","113","","Ack"
"23","1.413000","fe80::205:5:5:5","fe80::201:1:1:1","ICMPv6","117","76","RPL Control (DODAG Information Object)"
"24","1.417200","","","IEEE 802.15.4","117","","Ack"
"25","1.519000","fe80::209:9:9:9","fe80::201:1:1:1","ICMPv6","134","76","RPL Control (DODAG Information Object)"
"26","1.523200","","","IEEE 802.15.4","134","","Ack"
"27","1.720000","fe80::204:4:4:4","fe80::202:2:2:2","ICMPv6","65","76","RPL Control (DODAG Information Object)"
"28","1.724200","","","IEEE 802.15.4","65","","Ack"
"29","1.749000","fe80::20e:e:e:e","fe80::201:1:1:1","ICMPv6","12","76","RPL Control (DODAG Information Object)"
"30","1.753200","","","IEEE 802.15.4","12","","Ack"
"31","2.035000","fe80::210:10:10:10","fe80::201:1:1:1","ICMPv6","114","76","RPL Control (DODAG Information Object)"
"32","2.039200","","","IEEE 802.15.4","114","","Ack"
"33","2.078000","fe80::20e:e:e:e","fe80::201:1:1:1","ICMPv6","13","76","RPL Control (DODAG Information Object)"
"34","2.082200","","","IEEE 802.15.4","13","","Ack"
"35","2.311000","fe80::214:14:14:14","fe80::202:2:2:2","ICMPv6","113","76","RPL Control (DODAG Information Object)"
"36","2.315200","","","IEEE 802.15.4","113","","Ack"
"37","2.621000","fe80::208:8:8:8","fe80::202:2:2:2","ICMPv6","229","76","RPL Control (DODAG Information Object)"
"38","2.625200","","","IEEE 802.15.4","229","","Ack"
"39","2.884000","fe80::215:15:15:15","fe80::202:2:2:2","ICMPv6","170","76","RPL Control (DODAG Information Object)"
"40","2.888200","","","IEEE 802.15.4","170","","Ack"
"41","2.896000","fe80::210:10:10:10","fe80::201:1:1:1","ICMPv6","115","76","RPL Control (DODAG Information Object)"
"42","2.900200","","","IEEE 802.15.4","115","","Ack"
"43","2.939000","fe80::217:17:17:17","fe80::201:1:1:1","ICMPv6","124","76","RPL Control (DODAG Information Object)"
"44","2.943200","","","IEEE 802.15.4","124","","Ack"
"45","3.056000","fe80::207:7:7:7","fe80::202:2:2:2","ICMPv6","36","76","RPL Control (DODAG Information Object)"
"46","3.060200","","","IEEE 802.15.4","36","","Ack"
"47","3.212000","fe80::20d:d:d:d","fe80::202:2:2:2","ICMPv6","31","76","RPL Control (DODAG Information Object)"
"48","3.216200","","","IEEE 802.15.4","31","","Ack"
"49","3.226000","fe80::207:7:7:7","fe80::202:2:2:2","ICMPv6","37","76","RPL Control (DODAG Information Object)"
"50","3.230200","","","IEEE 802.15.4","37","","Ack"
"51","3.339000","fe80::211:11:11:11","fe80::202:2:2:2","ICMPv6","34","76","RPL Control (DODAG Information Object)"
"52","3.343200","","","IEEE 802.15.4","34","","Ack"
"53","3.385000","fe80::212:12:12:12","fe80::201:1:1:1","ICMPv6","84","76","RPL Control (DODAG Information Object)"
"54","3.389200","","","IEEE 802.15.4","84","","Ack"
"55","3.443000","fe80::203:3:3:3","fe80::201:1:1:1","ICMPv6","71","76","RPL Control (DODAG Information Object)"
"56","3.447200","","","IEEE 802.15.4","71","","Ack"
"57","3.652000","fe80::212:12:12:12","fe80::201:1:1:1","ICMPv6","85","76","RPL Control (DODAG Information Object)"
"58","3.656200","","","IEEE 802.15.4","85","","Ack"
"59","3.685000","fe80::20a:a:a:a","fe80::202:2:2:2","ICMPv6","236","76","RPL Control (DODAG Information Object)"
"60","3.689200","","","IEEE 802.15.4","236","","Ack"
"61","3.710000","fe80::20e:e:e:e","fe80::201:1:1:1","ICMPv6","14","76","RPL Control (DODAG Information Object)"
"62","3.714200","","","IEEE 802.15.4","14","","Ack"
"63","3.813000","fe80::206:6:6:6","fe80::202:2:2:2","ICMPv6","177","76","RPL Control (DODAG Information Object)"
