"No.","Time","Source","Destination","Protocol","Sequence Number","Payload Length","Info"
"1","0.000000","fe80::202:2:2:2","ff02::1a","ICMPv6","55","76","RPL Control (DODAG Information Object)"
"2","0.117000","fe80::206:6:6:6","fe80::202:2:2:2","ICMPv6","177","76","RPL Control (DODAG Information Object)"
"3","0.121200","","","IEEE 802.15.4","177","","Ack"
"4","0.202000","fe80::201:1:1:1","ff02::1a","ICMPv6","9","76","RPL Control (DODAG Information Object)"
"5","0.276000","fe80::203:3:3:3","fe80::201:1:1:1","ICMPv6","71","76","RPL Control (DODAG Information Object)"
"6","0.280200","","","IEEE 802.15.4","71","","Ack"
"7","0.596000","fe80::215:15:15:15","fe80::202:2:2:2","ICMPv6","169","76","RPL Control (DODAG Information Object)"
"8","0.600200","","","IEEE 802.15.4","169","","Ack"
"9","0.611000","fe80::206:6:6:6","fe80::202:2:2:2","ICMPv6","178","76","RPL Control (DODAG Information Object)"
"10","0.615200","","","IEEE 802.15.4","178","","Ack"
"11","0.710000","fe80::211:11:11:11","fe80::202:2:2:2","ICMPv6","34","76","RPL Control (DODAG Information Object)"
"12","0.714200","","","IEEE 802.15.4","34","","Ack"
"13","1.053000","fe80::209:9:9:9","fe80::201:1:1:1","ICMPv6","134","76","RPL Control (DODAG Information Object)"
"14","1.057200","","","IEEE 802.15.4","134","","Ack"
"15","1.309000","fe80::205:5:5:5","fe80::201:1:1:1","ICMPv6","117","76","RPL Control (DODAG Information Object)"
"16","1.313200","","","IEEE 802.15.4","117","","Ack"
"17","1.339000","fe80::215:15:15:15","fe80::202:2:2:2","ICMPv6","170","76","RPL Control (DODAG Information Object)"
"18","1.343200","","","IEEE 802.15.4","170","","Ack"
"19","1.363000","fe80::206:6:6:6","fe80::202:2:2:2","ICMPv6","179","76","RPL Control (DODAG Information Object)"
"20","1.367200","","","IEEE 802.15.4","179","","Ack"
"21","1.380000","fe80::20a:a:a:a","fe80::202:2:2:2","ICMPv6","236","76","RPL Control (DODAG Information Object)"
"22","1.384200","","","IEEE 802.15.4","236","","Ack"
"23","1.736000","fe80::20f:f:f:f","fe80::202:2:2:2","ICMPv6","250","76","RPL Control (DODAG Information Object)"
"24","1.740200","","","IEEE 802.15.4","250","","Ack"
"25","1.908000","fe80::207:7:7:7","fe80::202:2:2:2","ICMPv6","35","76","RPL Control (DODAG Information Object)"
"26","1.912200","","","IEEE 802.15.4","35","","Ack"
"27","2.096000","fe80::204:4:4:4","fe80::202:2:2:2","ICMPv6","65","76","RPL Control (DODAG Information Object)"
"28","2.100200","","","IEEE 802.15.4","65","","Ack"
"29","2.151000","fe80::20c:c:c:c","fe80::202:2:2:2","ICMPv6","30","76","RPL Control (DODAG Information Object)"
"30","2.155200","","","IEEE 802.15.4","30","","Ack"
"31","2.446000","fe80::20a:a:a:a","fe80::202:2:2:2","ICMPv6","237","76","RPL Control (DODAG Information Object)"
"32","2.450200","","","IEEE 802.15.4","237","","Ack"
"33","2.460000","fe80::20b:b:b:b","fe80::202:2:2:2","ICMPv6","108","76","RPL Control (DODAG Information Object)"
"34","2.464200","","","IEEE 802.15.4","108","","Ack"
"35","2.528000","fe80::211:11:11:11","fe80::202:2:2:2","ICMPv6","35","76","RPL Control (DODAG Information Object)"
