"No.","Time","Source","Destination","Protocol","Sequence Number","Payload Length","Info"
"1","0.000000","fe80::201:1:1:1","ff02::1a","ICMPv6","9","76","RPL Control (DODAG Information Object)"
"2","0.967000","fe80::20c:c:c:c","fe80::201:1:1:1","ICMPv6","30","76","RPL Control (DODAG Information Object)"
"3","0.971200","","","IEEE 802.15.4","30","","Ack"
"4","1.003000","fe80::20c:c:c:c","fe80::201:1:1:1","ICMPv6","31","76","RPL Control (DODAG Information Object)"
"5","1.007200","","","IEEE 802.15.4","31","","Ack"
"6","1.759000","fe80::209:9:9:9","fe80::201:1:1:1","ICMPv6","134","76","RPL Control (DODAG Information Object)"
"7","1.763200","","","IEEE 802.15.4","134","","Ack"
"8","2.283000","fe80::209:9:9:9","fe80::201:1:1:1","ICMPv6","135","76","RPL Control (DODAG Information Object)"
"9","2.287200","","","IEEE 802.15.4","135","","Ack"
"10","2.334000","fe80::208:8:8:8","fe80::201:1:1:1","ICMPv6","228","76","RPL Control (DODAG Information Object)"
"11","2.338200","","","IEEE 802.15.4","228","","Ack"
"12","2.368000","fe80::20c:c:c:c","fe80::201:1:1:1","ICMPv6","32","76","RPL Control (DODAG Information Object)"
"13","2.372200","","","IEEE 802.15.4","32","","Ack"
"14","2.514000","fe80::20c:c:c:c","fe80::201:1:1:1","ICMPv6","33","76","RPL Control (DODAG Information Object)"
"15","2.518200","","","IEEE 802.15.4","33","","Ack"
"16","2.635000","fe80::20a:a:a:a","fe80::201:1:1:1","ICMPv6","236","76","RPL Control (DODAG Information Object)"
"17","2.639200","","","IEEE 802.15.4","236","","Ack"
"18","2.906000","fe80::209:9:9:9","fe80::201:1:1:1","ICMPv6","136","76","RPL Control (DODAG Information Object)"
"19","2.910200","","","IEEE 802.15.4","136","","Ack"
"20","3.070000","fe80::202:2:2:2","fe80::201:1:1:1","ICMPv6","55","76","RPL Control (DODAG Information Object)"
"21","3.074200","","","IEEE 802.15.4","55","","Ack"
"22","3.109000","fe80::202:2:2:2","fe80::201:1:1:1","ICMPv6","56","76","RPL Control (DODAG Information Object)"
"23","3.113200","","","IEEE 802.15.4","56","","Ack"
"24","3.137000","fe80::202:2:2:2","fe80::201:1:1:1","ICMPv6","57","76","RPL Control (DODAG Information Object)"
"25","3.141200","","","IEEE 802.15.4","57","","Ack"
"26","3.672000","fe80::203:3:3:3","fe80::201:1:1:1","ICMPv6","71","76","RPL Control (DODAG Information Object)"
"27","3.676200","","","IEEE 802.15.4","71","","Ack"
"28","3.849000","fe80::203:3:3:3","fe80::201:1:1:1","ICMPv6","72","76","RPL Control (DODAG Information Object)"
"29","3.853200","","","IEEE 802.15.4","72","","Ack"
"30","4.619000","fe80::209:9:9:9","fe80::201:1:1:1","ICMPv6","137","76","RPL Control (DODAG Information Object)"
"31","4.623200","","","IEEE 802.15.4","137","","Ack"
"32","5.753000","fe80::20a:a:a:a","fe80::201:1:1:1","ICMPv6","237","76","RPL Control (DODAG Information Object)"
"33","5.757200","","","IEEE 802.15.4","237","","Ack"
"34","6.208000","fe80::208:8:8:8","fe80::201:1:1:1","ICMPv6","229","76","RPL Control (DODAG Information Object)"
"35","6.212200","","","IEEE 802.15.4","229","","Ack"
"36","6.888000","fe80::201:1:1:1","ff02::1a","ICMPv6","10","76","RPL Control (DODAG Information Object)"
"37","6.963000","fe80::202:2:2:2","fe80::201:1:1:1","ICMPv6","58","76","RPL Control (DODAG Information Object)"
"38","6.967200","","","IEEE 802.15.4","58","","Ack"
"39","7.105000","fe80::203:3:3:3","fe80::201:1:1:1","ICMPv6","73","76","RPL Control (DODAG Information Object)"
"40","7.109200","","","IEEE 802.15.4","73","","Ack"
"41","8.274000","::20c:c:c:c","::201:1:1:1","ICMPv6","34","58","RPL Control (Destination Advertisement Object)"
"42","8.277656","","","IEEE 802.15.4","34","","Ack"
"43","8.291000","::201:1:1:1","::20c:c:c:c","ICMPv6","11","16","RPL Control (Destination Advertisement Object Acknowledgment)"
"44","8.293312","","","IEEE 802.15.4","11","","Ack"
"45","9.179000","fe80::20a:a:a:a","fe80::201:1:1:1","ICMPv6","238","76","RPL Control (DODAG Information Object)"
"46","9.183200","","","IEEE 802.15.4","238","","Ack"
"47","9.214000","::209:9:9:9","::201:1:1:1","ICMPv6","138","58","RPL Control (Destination Advertisement Object)"
"48","9.217656","","","IEEE 802.15.4","138","","Ack"
"49","9.255000","::201:1:1:1","::209:9:9:9","ICMPv6","12","16","RPL Control (Destination Advertisement Object Acknowledgment)"
"50","9.257312","","","IEEE 802.15.4","12","","Ack"
"51","9.559000","::20c:c:c:c","::201:1:1:1","UDP","35","23","8765  >  5678 Len=7"
"52","9.561472","","","IEEE 802.15.4","35","","Ack"
"53","9.572000","::201:1:1:1","::20c:c:c:c","UDP","13","23","5678  >  8765 Len=7"
"54","9.574472","","","IEEE 802.15.4","13","","Ack"
"55","10.061000","fe80::208:8:8:8","fe80::201:1:1:1","ICMPv6","230","76","RPL Control (DODAG Information Object)"
"56","10.065200","","","IEEE 802.15.4","230","","Ack"
"57","10.084000","fe80::203:3:3:3","fe80::201:1:1:1","ICMPv6","74","76","RPL Control (DODAG Information Object)"
"58","10.088200","","","IEEE 802.15.4","74","","Ack"
"59","10.122000","::202:2:2:2","::201:1:1:1","ICMPv6","59","58","RPL Control (Destination Advertisement Object)"
"60","10.125656","","","IEEE 802.15.4","59","","Ack"
"61","10.168000","::201:1:1:1","::202:2:2:2","ICMPv6","14","16","RPL Control (Destination Advertisement Object Acknowledgment)"
"62","10.170312","","","IEEE 802.15.4","14","","Ack"
"63","11.493000","fe80::20c:c:c:c","ff02::1a","ICMPv6","36","76","RPL Control (DODAG Information Object)"
"64","12.831000","fe80::209:9:9:9","ff02::1a","ICMPv6","139","76","RPL Control (DODAG Information Object)"
"65","12.837000","fe80::20a:a:a:a","fe80::201:1:1:1","ICMPv6","239","76","RPL Control (DODAG Information Object)"
"66","12.841200","","","IEEE 802.15.4","239","","Ack"
"67","13.255000","::203:3:3:3","::201:1:1:1","ICMPv6","75","58","RPL Control (Destination Advertisement Object)"
"68","13.258656","","","IEEE 802.15.4","75","","Ack"
"69","13.298000","::201:1:1:1","::203:3:3:3","ICMPv6","15","16","RPL Control (Destination Advertisement Object Acknowledgment)"
"70","13.300312","","","IEEE 802.15.4","15","","Ack"
"71","13.596000","fe80::208:8:8:8","fe80::201:1:1:1","ICMPv6","231","76","RPL Control (DODAG Information Object)"
"72","13.600200","","","IEEE 802.15.4","231","","Ack"
"73","14.113000","fe80::202:2:2:2","ff02::1a","ICMPv6","60","76","RPL Control (DODAG Information Object)"
"74","14.181000","fe80::204:4:4:4","fe80::202:2:2:2","ICMPv6","65","76","RPL Control (DODAG Information Object)"
"75","14.185200","","","IEEE 802.15.4","65","","Ack"
"76","14.883000","::202:2:2:2","::201:1:1:1","UDP","61","23","8765  >  5678 Len=7"
"77","14.885472","","","IEEE 802.15.4","61","","Ack"
"78","14.926000","::201:1:1:1","::202:2:2:2","UDP","16","23","5678  >  8765 Len=7"
"79","14.928472","","","IEEE 802.15.4","16","","Ack"
